id;season;round;circuitId;country;constructorId;driverId;position;points;grid;status;differenceGridPosition
199;2000;10;red_bull_ring;Austria;bar;villeneuve;4;3.0;7;+1 Lap;3
200;2000;10;red_bull_ring;Austria;bar;zonta;13;0.0;6;Engine;-7
201;2000;10;red_bull_ring;Austria;benetton;fisichella;22;0.0;8;Collision;-14
202;2000;10;red_bull_ring;Austria;benetton;wurz;10;0.0;14;+1 Lap;4
203;2000;10;red_bull_ring;Austria;ferrari;barrichello;3;4.0;3;Finished;0
204;2000;10;red_bull_ring;Austria;ferrari;michael_schumacher;20;0.0;4;Collision;-16
205;2000;10;red_bull_ring;Austria;jaguar;burti;11;0.0;21;+2 Laps;10
206;2000;10;red_bull_ring;Austria;jaguar;herbert;7;0.0;16;+1 Lap;9
207;2000;10;red_bull_ring;Austria;jordan;frentzen;19;0.0;15;Oil leak;-4
208;2000;10;red_bull_ring;Austria;jordan;trulli;21;0.0;5;Collision;-16
209;2000;10;red_bull_ring;Austria;mclaren;coulthard;2;6.0;2;Finished;0
210;2000;10;red_bull_ring;Austria;mclaren;hakkinen;1;10.0;1;Finished;0
211;2000;10;red_bull_ring;Austria;minardi;gene;8;0.0;20;+1 Lap;12
212;2000;10;red_bull_ring;Austria;minardi;mazzacane;12;0.0;22;+3 Laps;10
213;2000;10;red_bull_ring;Austria;prost;alesi;16;0.0;17;Collision;1
214;2000;10;red_bull_ring;Austria;prost;heidfeld;15;0.0;13;Collision;-2
215;2000;10;red_bull_ring;Austria;sauber;diniz;9;0.0;11;+1 Lap;2
216;2000;10;red_bull_ring;Austria;sauber;salo;6;1.0;9;+1 Lap;3
217;2000;10;red_bull_ring;Austria;williams;button;5;2.0;18;+1 Lap;13
218;2000;10;red_bull_ring;Austria;williams;ralf_schumacher;14;0.0;19;Brakes;5
219;2000;11;hockenheimring;Germany;arrows;rosa;6;1.0;5;Finished;-1
220;2000;11;hockenheimring;Germany;arrows;verstappen;14;0.0;11;Spun off;-3
221;2000;11;hockenheimring;Germany;bar;villeneuve;8;0.0;9;Finished;1
222;2000;11;hockenheimring;Germany;bar;zonta;15;0.0;12;Spun off;-3
223;2000;11;hockenheimring;Germany;benetton;fisichella;22;0.0;3;Collision;-19
224;2000;11;hockenheimring;Germany;benetton;wurz;17;0.0;7;Electrical;-10
225;2000;11;hockenheimring;Germany;ferrari;barrichello;1;10.0;18;Finished;17
226;2000;11;hockenheimring;Germany;ferrari;michael_schumacher;21;0.0;2;Collision;-19
227;2000;11;hockenheimring;Germany;jaguar;herbert;20;0.0;8;Gearbox;-12
228;2000;11;hockenheimring;Germany;jaguar;irvine;10;0.0;10;Finished;0
229;2000;11;hockenheimring;Germany;jordan;frentzen;13;0.0;17;Gearbox;4
230;2000;11;hockenheimring;Germany;jordan;trulli;9;0.0;6;Finished;-3
231;2000;11;hockenheimring;Germany;mclaren;coulthard;3;4.0;1;Finished;-2
232;2000;11;hockenheimring;Germany;mclaren;hakkinen;2;6.0;4;Finished;2
233;2000;11;hockenheimring;Germany;minardi;gene;16;0.0;22;Engine;6
234;2000;11;hockenheimring;Germany;minardi;mazzacane;11;0.0;21;Finished;10
235;2000;11;hockenheimring;Germany;prost;alesi;19;0.0;20;Collision;1
236;2000;11;hockenheimring;Germany;prost;heidfeld;12;0.0;13;Alternator;1
237;2000;11;hockenheimring;Germany;sauber;diniz;18;0.0;19;Collision;1
238;2000;11;hockenheimring;Germany;sauber;salo;5;2.0;15;Finished;10
239;2000;11;hockenheimring;Germany;williams;button;4;3.0;16;Finished;12
240;2000;11;hockenheimring;Germany;williams;ralf_schumacher;7;0.0;14;Finished;7
241;2000;12;hungaroring;Hungary;arrows;rosa;16;0.0;15;+4 Laps;-1
