id;season;round;position;points;wins;driverId
486;2001;7;9;6.0;0;frentzen
487;2001;7;10;5.0;0;panis
488;2001;7;11;4.0;0;irvine
489;2001;7;12;4.0;0;raikkonen
490;2001;7;13;4.0;0;hakkinen
491;2001;7;14;1.0;0;verstappen
492;2001;7;15;1.0;0;alesi
493;2001;7;16;1.0;0;fisichella
494;2001;7;17;0.0;0;button
495;2001;7;18;0.0;0;burti
496;2001;7;19;0.0;0;bernoldi
497;2001;7;20;0.0;0;marques
498;2001;7;21;0.0;0;alonso
499;2001;7;22;0.0;0;mazzacane
500;2001;8;1;58.0;4;michael_schumacher
501;2001;8;2;40.0;2;coulthard
502;2001;8;3;24.0;0;barrichello
503;2001;8;4;22.0;2;ralf_schumacher
504;2001;8;5;8.0;0;heidfeld
505;2001;8;6;8.0;0;hakkinen
506;2001;8;7;7.0;0;villeneuve
507;2001;8;8;7.0;0;raikkonen
508;2001;8;9;7.0;0;trulli
509;2001;8;10;6.0;0;montoya
510;2001;8;11;6.0;0;frentzen
511;2001;8;12;5.0;0;panis
512;2001;8;13;4.0;0;irvine
513;2001;8;14;3.0;0;alesi
514;2001;8;15;1.0;0;verstappen
515;2001;8;16;1.0;0;fisichella
516;2001;8;17;1.0;0;rosa
517;2001;8;18;0.0;0;button
518;2001;8;19;0.0;0;zonta
519;2001;8;20;0.0;0;burti
520;2001;8;21;0.0;0;marques
521;2001;8;22;0.0;0;bernoldi
522;2001;8;23;0.0;0;alonso
523;2001;8;24;0.0;0;mazzacane
524;2001;9;1;68.0;5;michael_schumacher
525;2001;9;2;44.0;2;coulthard
526;2001;9;3;26.0;0;barrichello
527;2001;9;4;25.0;2;ralf_schumacher
528;2001;9;5;12.0;0;montoya
529;2001;9;6;9.0;0;hakkinen
530;2001;9;7;8.0;0;heidfeld
531;2001;9;8;7.0;0;villeneuve
532;2001;9;9;7.0;0;raikkonen
533;2001;9;10;7.0;0;trulli
534;2001;9;11;6.0;0;frentzen
535;2001;9;12;5.0;0;panis
536;2001;9;13;4.0;0;irvine
537;2001;9;14;3.0;0;alesi
538;2001;9;15;1.0;0;verstappen
539;2001;9;16;1.0;0;rosa
540;2001;9;17;1.0;0;fisichella
541;2001;9;18;0.0;0;button
542;2001;9;19;0.0;0;zonta
543;2001;9;20;0.0;0;burti
544;2001;9;21;0.0;0;marques
545;2001;9;22;0.0;0;bernoldi
546;2001;9;23;0.0;0;alonso
547;2001;9;24;0.0;0;mazzacane
548;2001;10;1;78.0;6;michael_schumacher
549;2001;10;2;47.0;2;coulthard
550;2001;10;3;31.0;2;ralf_schumacher
551;2001;10;4;30.0;0;barrichello
552;2001;10;5;12.0;0;montoya
553;2001;10;6;9.0;0;heidfeld
554;2001;10;7;9.0;0;hakkinen
555;2001;10;8;9.0;0;trulli
556;2001;10;9;7.0;0;villeneuve
557;2001;10;10;7.0;0;raikkonen
558;2001;10;11;6.0;0;frentzen
559;2001;10;12;5.0;0;panis
560;2001;10;13;4.0;0;irvine
561;2001;10;14;3.0;0;alesi
562;2001;10;15;1.0;0;verstappen
563;2001;10;16;1.0;0;rosa
564;2001;10;17;1.0;0;fisichella
565;2001;10;18;0.0;0;button
566;2001;10;19;0.0;0;zonta
567;2001;10;20;0.0;0;burti
568;2001;10;21;0.0;0;marques
569;2001;10;22;0.0;0;bernoldi
570;2001;10;23;0.0;0;alonso
571;2001;10;24;0.0;0;mazzacane
572;2001;11;1;84.0;6;michael_schumacher
573;2001;11;2;47.0;2;coulthard
574;2001;11;3;34.0;0;barrichello
575;2001;11;4;31.0;2;ralf_schumacher
576;2001;11;5;19.0;1;hakkinen
577;2001;11;6;15.0;0;montoya
578;2001;11;7;10.0;0;heidfeld
579;2001;11;8;9.0;0;raikkonen
580;2001;11;9;9.0;0;trulli
581;2001;11;10;7.0;0;villeneuve
582;2001;11;11;6.0;0;frentzen
583;2001;11;12;5.0;0;panis
584;2001;11;13;4.0;0;irvine
585;2001;11;14;3.0;0;alesi
586;2001;11;15;1.0;0;verstappen
587;2001;11;16;1.0;0;rosa
588;2001;11;17;1.0;0;fisichella
589;2001;11;18;0.0;0;button
590;2001;11;19;0.0;0;zonta
591;2001;11;20;0.0;0;burti
592;2001;11;21;0.0;0;marques
593;2001;11;22;0.0;0;bernoldi
594;2001;11;23;0.0;0;alonso
595;2001;11;24;0.0;0;mazzacane
596;2001;12;1;84.0;6;michael_schumacher
597;2001;12;2;47.0;2;coulthard
598;2001;12;3;41.0;3;ralf_schumacher
599;2001;12;4;40.0;0;barrichello
600;2001;12;5;19.0;1;hakkinen
601;2001;12;6;15.0;0;montoya
602;2001;12;7;11.0;0;villeneuve
603;2001;12;8;10.0;0;heidfeld
604;2001;12;9;9.0;0;raikkonen
605;2001;12;10;9.0;0;trulli
606;2001;12;11;6.0;0;frentzen
607;2001;12;12;5.0;0;panis
608;2001;12;13;4.0;0;irvine
609;2001;12;14;4.0;0;fisichella
610;2001;12;15;4.0;0;alesi
611;2001;12;16;2.0;0;button
612;2001;12;17;1.0;0;verstappen
613;2001;12;18;1.0;0;rosa
614;2001;12;19;0.0;0;zonta
615;2001;12;20;0.0;0;burti
616;2001;12;21;0.0;0;bernoldi
617;2001;12;22;0.0;0;marques
618;2001;12;23;0.0;0;alonso
619;2001;12;24;0.0;0;mazzacane
620;2001;13;1;94.0;7;michael_schumacher
621;2001;13;2;51.0;2;coulthard
622;2001;13;3;46.0;0;barrichello
623;2001;13;4;44.0;3;ralf_schumacher
624;2001;13;5;21.0;1;hakkinen
625;2001;13;6;15.0;0;montoya
626;2001;13;7;11.0;0;villeneuve
627;2001;13;8;11.0;0;heidfeld
628;2001;13;9;9.0;0;raikkonen
629;2001;13;10;9.0;0;trulli
630;2001;13;11;6.0;0;frentzen
631;2001;13;12;5.0;0;panis
632;2001;13;13;4.0;0;irvine
633;2001;13;14;4.0;0;fisichella
634;2001;13;15;4.0;0;alesi
635;2001;13;16;2.0;0;button
636;2001;13;17;1.0;0;verstappen
637;2001;13;18;1.0;0;rosa
638;2001;13;19;0.0;0;zonta
639;2001;13;20;0.0;0;burti
640;2001;13;21;0.0;0;bernoldi
641;2001;13;22;0.0;0;marques
642;2001;13;23;0.0;0;alonso
643;2001;13;24;0.0;0;mazzacane
644;2001;14;1;104.0;8;michael_schumacher
645;2001;14;2;57.0;2;coulthard
646;2001;14;3;48.0;0;barrichello
647;2001;14;4;44.0;3;ralf_schumacher
648;2001;14;5;24.0;1;hakkinen
649;2001;14;6;15.0;0;montoya
650;2001;14;7;11.0;0;villeneuve
651;2001;14;8;11.0;0;heidfeld
652;2001;14;9;9.0;0;raikkonen
653;2001;14;10;9.0;0;trulli
654;2001;14;11;8.0;0;fisichella
655;2001;14;12;6.0;0;frentzen
656;2001;14;13;5.0;0;panis
657;2001;14;14;5.0;0;alesi
658;2001;14;15;4.0;0;irvine
659;2001;14;16;2.0;0;button
660;2001;14;17;1.0;0;verstappen
661;2001;14;18;1.0;0;rosa
662;2001;14;19;0.0;0;zonta
663;2001;14;20;0.0;0;burti
664;2001;14;21;0.0;0;bernoldi
665;2001;14;22;0.0;0;marques
666;2001;14;23;0.0;0;alonso
667;2001;14;24;0.0;0;mazzacane
668;2001;15;1;107.0;8;michael_schumacher
669;2001;15;2;57.0;2;coulthard
670;2001;15;3;54.0;0;barrichello
671;2001;15;4;48.0;3;ralf_schumacher
672;2001;15;5;25.0;1;montoya
673;2001;15;6;24.0;1;hakkinen
674;2001;15;7;12.0;0;villeneuve
675;2001;15;8;11.0;0;heidfeld
676;2001;15;9;9.0;0;raikkonen
677;2001;15;10;9.0;0;trulli
678;2001;15;11;8.0;0;fisichella
679;2001;15;12;6.0;0;frentzen
680;2001;15;13;5.0;0;panis
681;2001;15;14;5.0;0;alesi
682;2001;15;15;4.0;0;irvine
683;2001;15;16;3.0;0;rosa
684;2001;15;17;2.0;0;button
685;2001;15;18;1.0;0;verstappen
686;2001;15;19;0.0;0;zonta
687;2001;15;20;0.0;0;burti
688;2001;15;21;0.0;0;bernoldi
689;2001;15;22;0.0;0;marques
690;2001;15;23;0.0;0;alonso
691;2001;15;24;0.0;0;enge
692;2001;15;25;0.0;0;mazzacane
693;2001;16;1;113.0;8;michael_schumacher
694;2001;16;2;61.0;2;coulthard
695;2001;16;3;54.0;0;barrichello
696;2001;16;4;48.0;3;ralf_schumacher
697;2001;16;5;34.0;2;hakkinen
698;2001;16;6;25.0;1;montoya
699;2001;16;7;12.0;0;villeneuve
